Item Code,Item Name,Division,Vertical,Brand
83036,DIVYA MELANOGRIT 3 U X 20 - T,PHARMACY,MEDICINES,DIVYA MEDICINE
83378,DIVYA VRIDDHIVADHIKA VATI 160 N- T,PHARMACY,MEDICINES,DIVYA PRODUCTS
83383,DIVYA SINGHNAD GUGGUL 80 N -T,PHARMACY,MEDICINES,DIVYA PRODUCTS
83444,DIVYA WEIGHTGO TABLET 60 N -T,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE
83511,DIVYA KAYAKALP TAILA ADVANCE 100 ML,PHARMACY,MEDICINES,DIVYA PRODUCTS
83550,Divya Cologrit 3 U X 20 N -T,PHARMACY,MEDICINES,DIVYA PRODUCTS
83644,SANJEEVANI VATI 160 N,PHARMACY,MEDICINES,DIVYA PRODUCTS
83720,DIVYA DENGUENIL VATI 80 TABLETS-T,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE
83751,DIVYA KANTILEP 50 G,PHARMACY,MEDICINES,DIVYA PRODUCTS
83803,AMRIT SROT COPPER JUG WT GLASS 1700 ML-T,NON FOOD,EXCLUSIVE RETAIL,AMRIT SROT
83810,PANCHAMRIT LAUH GUGGUL 120 N,PHARMACY,EXCLUSIVE RETAIL,DIVYA PRODUCTS
84129,DIVYA MAKARDHWAJ 2 G -T,PHARMACY,EXCLUSIVE RETAIL,DIVYA PRODUCTS
84150,DIVYA PANCOGRIT 60 TABLET-T,PHARMACY,EXCLUSIVE RETAIL,TABLET & VATI
84152,DIVYA HAEMOGRIT VITAL 60 TABLET-T,PHARMACY,EXCLUSIVE RETAIL,TABLET & VATI
84153,DIVYA AUROGRIT TABLET 60N-T,PHARMACY,EXCLUSIVE RETAIL,TABLET & VATI
84196,MAHA NARAYAN TAILA 100 ML - T,PHARMACY,EXCLUSIVE RETAIL,TAILA
84200,KUSHA AASANA KIT (WOOLEN & FUR) - T,PARIDHAN,PARIDHAN,PARIDHAN
84272,DIVYA PUNRGRIT 3 U X 20 N - T,PHARMACY,JUICES & NATURAL BEVERAGES,TABLET & VATI
8854000077,DIVYA KANTILEP 50 G,PHARMACY,MEDICINES,DIVYA PRODUCTS
8855000358,DIVYA ASHWAGANDHARISHTA - 450 ML,FOOD,JUICES & NATURAL BEVERAGES,MEDICINE
8855000660,KATARANI RICE 5 KG (BOPP) 8*5 Kg - TP,FOOD,RICE/PULSES/SPICES,RICE
8857000015,DIVYA JWAR NASHAK VATI 40 TABLETS,PHARMACY,MEDICINES,VATI & GUGGAL
8857000018,DIVYA LAVAN BHASKAR CHURNA - 100 GM,PHARMACY,MEDICINES,VATI & GUGGAL
